car_vin,category,car_registration_number,manufacturer,model,color,release_year,current_value,idincat,drivers_licence_number,contract_code
2C3CCAHG5CH454910,motorcycle,UDJ7740,Toyota,Venza,Red,2011,"â‚¬32485,26",VLT096591EPY1965,AP9R813,27402959
1G6D05EG6A0391261,private vehicle,UKD0945,Kia,Sephia,Blue,1997,"â‚¬71816,40",UNW803916OWG9309,LN6A617,69127949
WBAUN7C51BV924601,truck,KQD1767,BMW,5 Series,Puce,2006,"â‚¬73481,01",BGQ245059FNT1338,YK8Q367,21853912
JN1CV6AR4FM728682,motorcycle,YEI9572,Volvo,940,Puce,1994,"â‚¬81757,40",NLC139311DTW1400,PY1X945,82722718
WBASN2C54BC467000,private vehicle,TRT4582,Honda,Odyssey,Teal,2007,"â‚¬98008,15",BXY998897QCV2090,BP7V947,66372504
1N6AD0CU7BC571295,truck,QCZ2543,GMC,Yukon,Red,1995,"â‚¬40103,22",NRV735338SFC0267,AM1O424,96340478
WUAW2AFC4FN808894,truck,RUQ2807,Volkswagen,Quantum,Indigo,1984,"â‚¬64682,27",CCI074895MKV8141,FG9K172,3110153
WBADT63491C996826,motorcycle,GHL2784,Mitsubishi,Outlander,Red,2004,"â‚¬92837,84",QND104346NAY2488,XE2E322,60824153
3GYT4MEF0BG197444,motorcycle,GFN1519,Dodge,Ram 50,Blue,1993,"â‚¬38422,43",EHG025651FKD0237,FR0C243,49883751
WAUWGBFC3EN933319,private vehicle,ASB1920,Toyota,Echo,Indigo,2001,"â‚¬83569,25",YTR338241PEX8775,NN6N617,80957312
2T1BURHE3EC934023,truck,TEE4388,GMC,Suburban 1500,Fuscia,1998,"â‚¬73373,39",LVI499795NHS9863,XC0S605,94723176
1G6DN57U260360357,truck,LJF6734,GMC,Envoy,Red,1998,"â‚¬89388,58",FDB997559EMB4618,IW2B795,32021207
WBABN33473J969736,truck,EKM2752,Nissan,350Z,Fuscia,2007,"â‚¬27516,40",NLY270328RAT7118,BI9D148,71551553
SCBBP9ZA3CC332198,private vehicle,QBV0676,Lexus,ES,Blue,1995,"â‚¬57931,32",OJK774113FWW1500,XM1B616,68641474
1FMCU4K3XAK999967,motorcycle,LYG4289,Subaru,Leone,Indigo,1989,"â‚¬32604,58",KJH386907XRD0327,QQ7D920,27583337
WAUCFAFRXCA910077,truck,XNL5809,Lexus,ES,Maroon,1998,"â‚¬39423,19",KOL591158OKZ1796,PW4J240,19100256
1G6AF5S38E0399791,truck,RUI4765,Mitsubishi,Lancer Evolution,Pink,2011,"â‚¬31806,78",ZLB678751JND5112,QU5E991,82756385
3C6TD5PT8CG619404,truck,AHJ0365,Honda,Accord,Pink,1986,"â‚¬65265,79",LOB743339XYE6311,CO1D594,56720733
WAUAFAFL8FA825052,motorcycle,VBG9618,Lexus,LS,Orange,2004,"â‚¬85758,43",TPM345699OAN2453,ZZ1N154,579560
1VWAP7A34EC613601,private vehicle,KOU7420,Volkswagen,Jetta,Maroon,2007,"â‚¬13610,78",YEO023606VMS7334,XB1L297,92114612
19UUA8F26CA566993,truck,SDG8578,Buick,Roadmaster,Blue,1993,"â‚¬91967,79",WIK735892FGW0779,TW0M473,13359359
WA1YL64B45N126861,private vehicle,LJD1970,Toyota,Sienna,Khaki,2011,"â‚¬99750,64",NPC398669QNP6541,IJ5G901,28804265
WAUHF98P38A811799,truck,FFF8128,Lexus,GS,Red,2005,"â‚¬94007,00",TZN401859EQS5810,CZ0A391,750724
WA1BY74L57D014195,motorcycle,JNP1944,Isuzu,Trooper,Orange,1998,"â‚¬29718,25",DEC534961FCM7641,OI0N329,46803010
3GTU2YEJ1BG397017,truck,ILF0988,BMW,5 Series,Orange,2006,"â‚¬88001,43",MVF235038KHC6714,RX0T756,98816141
WAUAF78E56A987450,motorcycle,IJG7606,Mazda,MX-6,Fuscia,1994,"â‚¬35581,33",YZW985466XFP4521,NE8U802,42078246
4USBU33546L488909,truck,KEO0860,Nissan,Quest,Yellow,2001,"â‚¬41830,86",SSP496918HTI6395,DL1A017,70696851
WBA1K5C51FV072417,truck,ZTL6113,Mercedes-Benz,SLK55 AMG,Fuscia,2009,"â‚¬55826,81",ATT514996WZS0669,ZN4K558,78209711
WAULFAFR2CA891962,private vehicle,OPV6613,Dodge,Avenger,Yellow,2011,"â‚¬75110,86",DMA508541DUF3519,BI2H725,73373529
WAUJ2AFD5FN439234,private vehicle,IOR3427,Nissan,Armada,Violet,2008,"â‚¬24037,25",THT301606RBU6062,NQ2W290,74665275
YV1612FH7E2901548,truck,LLF0202,Cadillac,SRX,Violet,2010,"â‚¬28149,71",YCC212472YCY3097,AC3E966,9440722
WBAVS13508F116656,truck,NAQ4690,Ford,F350,Aquamarine,2003,"â‚¬78412,63",DWQ468019FFI3137,DH2Z229,97961190
SCBBP93W79C199684,private vehicle,IUB2263,Ford,Focus,Orange,2012,"â‚¬15085,14",DGK965887HKV0466,RE2D733,55665668
1N6AA0EC6DN551625,private vehicle,QJI8910,Chevrolet,Lumina APV,Pink,1992,"â‚¬22036,20",AWL135634MOI4396,NR1N617,47646426
SAJWA1CZXE8740799,motorcycle,RTD7217,Pontiac,Bonneville,Indigo,1984,"â‚¬47903,25",IPY677862GTC4812,ZV9Z831,51570743
1G4GE5GVXAF971726,motorcycle,JDN3038,Subaru,Forester,Red,2012,"â‚¬42854,65",SMI406585HPP2771,JE9K649,9515570
19UUA65605A183093,truck,HKV6838,GMC,Sierra 3500,Teal,2009,"â‚¬90213,26",XFM212738SEY5249,AT5J109,14899959
2HNYD2H64DH121783,truck,THL1211,Chevrolet,Corvette,Turquoise,1986,"â‚¬55418,10",HYI607239MDV6115,UP8U853,41633187
WBAPT7C5XAC071175,motorcycle,BOI0984,Acura,RDX,Purple,2009,"â‚¬48658,49",KZX154809GXI5749,GD7I055,50336287
WBALL5C51DE404553,private vehicle,UYI7145,Oldsmobile,Aurora,Purple,2002,"â‚¬90912,45",JOY197454PNM5250,PB5N537,90633823
2G61N5S38D9511352,private vehicle,XTU6133,Honda,Passport,Red,1994,"â‚¬34603,33",BVS591561WTN5172,DX4Y198,98112213
3VW507AT7EM010601,truck,VFO3597,Kia,Soul,Purple,2012,"â‚¬1389,11",BEM816925PFE3882,YO3N253,45872210
3N1AB7AP1FY273663,truck,GKC8017,Mazda,Mazda6 Sport,Teal,2006,"â‚¬44858,60",IKZ131328SMV0910,OY0C723,89761235
WBAHN83568D078293,motorcycle,MPM1878,Ford,Freestyle,Yellow,2006,"â‚¬92130,85",WBE658637NQL9995,DX1U080,63408132
3C6JD6CT8CG891129,truck,SJV7358,Lamborghini,Gallardo,Teal,2005,"â‚¬49967,08",AMJ648335PUR7984,LN3A617,17985764
WAU3MAFD9FN143815,private vehicle,MJU1303,Chrysler,Town & Country,Pink,1998,"â‚¬80880,04",YTG075248HGE2710,RB6Y875,58810921
3GYFNFEY1BS783610,motorcycle,YRV8123,Chevrolet,Avalanche 2500,Turquoise,2002,"â‚¬84290,18",SQY852383NFY2529,FP3X253,95270982
KMHHT6KD8BU786666,private vehicle,SPH9569,Mercury,Grand Marquis,Green,1984,"â‚¬13361,48",WTB884245LKX4625,KU2O642,12250092
TRUUT28N721395141,private vehicle,DDW1126,Mitsubishi,Pajero,Violet,1993,"â‚¬26889,59",NZJ297048WNR5637,LW4Y549,30736100
1G6DB8E52E0875007,motorcycle,VCN5714,Lamborghini,MurciÃ©lago,Teal,2009,"â‚¬40581,24",ECN190016ZFL9643,RH6L444,18881887
1FBAX2CM6FK042486,motorcycle,UTA1624,Ford,F-250 Super Duty,Fuscia,2006,"â‚¬77734,75",TTB958392GAW7411,CW5O935,97855544
5GAKRBEDXBJ447228,private vehicle,LRT7905,Mazda,Miata MX-5,Aquamarine,2003,"â‚¬21905,72",IRK380733OOQ7062,WT9J379,24087794
ZHWGU5BZ8CL203305,motorcycle,PUJ5618,Mazda,Miata MX-5,Fuscia,2010,"â‚¬41835,85",TTG244667GCO6497,VT6T031,24295894
WAUAFAFH4AN909401,truck,JIV0124,Hyundai,Elantra,Crimson,1993,"â‚¬81603,37",GZM443837TLF8108,NW6J537,55276953
WAULT68E24A316908,truck,HDL7940,Mazda,RX-7,Teal,1993,"â‚¬11698,05",IFC198420BXG2501,OV4T817,36593078
JN1AZ4EH5BM926392,truck,ALJ0861,Mitsubishi,Endeavor,Crimson,2010,"â‚¬14369,71",IWT226122HKK6760,WJ3I253,81236160
JTHDU1EF0E5128806,private vehicle,XHL2768,Chevrolet,3500,Maroon,1997,"â‚¬59760,45",DPZ506426ITG8131,QM0K528,89269234
1GYFK46898R851417,truck,ZTH5266,Saab,9000,Crimson,1999,"â‚¬80095,34",HUR431407LCE4391,ZC1Q241,11814231
JH4CL958X7C560803,truck,FMG3579,Saab,9000,Crimson,1988,"â‚¬38560,75",MVD104451KXD2202,SM5V955,12362511
