idparticipant,car_vin,drivers_licence_number,idviolations
863R,2C3CCAHG5CH454910,AP9R813,8YG98X297K
454E,1G6D05EG6A0391261,LN6A617,7KL43G980M
950H,WBAUN7C51BV924601,YK8Q367,5KD96M760Z
276F,JN1CV6AR4FM728682,PY1X945,8WO72Q581Z
876V,WBASN2C54BC467000,BP7V947,4ZJ06I958I
573D,1N6AD0CU7BC571295,AM1O424,4JP33J166S
979Y,WUAW2AFC4FN808894,FG9K172,0QN29D374P
554N,WBADT63491C996826,XE2E322,8ZU53R065U
357B,3GYT4MEF0BG197444,FR0C243,7MC08F759Y
773W,WAUWGBFC3EN933319,NN6N617,2NB69K063U
744N,2T1BURHE3EC934023,XC0S605,2PC89X773F
955V,1G6DN57U260360357,IW2B795,7LF81H785K
642U,WBABN33473J969736,BI9D148,5TR51Y512W
271D,SCBBP9ZA3CC332198,XM1B616,8CV50K484Q
558N,1FMCU4K3XAK999967,QQ7D920,8GH25T987U
256D,WAUCFAFRXCA910077,PW4J240,4TW52H238J
807V,1G6AF5S38E0399791,QU5E991,1IR14J061A
236T,3C6TD5PT8CG619404,CO1D594,8RM51U171O
032J,WAUAFAFL8FA825052,ZZ1N154,0ZF06Y227Y
047G,1VWAP7A34EC613601,XB1L297,1LV50L996N
937Y,19UUA8F26CA566993,TW0M473,1HW78F485H
212T,WA1YL64B45N126861,IJ5G901,5JS84M554W
552N,WAUHF98P38A811799,CZ0A391,0XA64T931T
127D,WA1BY74L57D014195,OI0N329,1PZ41B163O
123S,3GTU2YEJ1BG397017,RX0T756,3ZX55L718T
113V,WAUAF78E56A987450,NE8U802,2FZ72C410Z
795V,4USBU33546L488909,DL1A017,5UY29U415A
071S,WBA1K5C51FV072417,ZN4K558,0DG09G811H
496Q,WAULFAFR2CA891962,BI2H725,7SJ31W098Z
961L,WAUJ2AFD5FN439234,NQ2W290,4YV44L401R
810Y,YV1612FH7E2901548,AC3E966,0XG90T281M
813W,WBAVS13508F116656,DH2Z229,0YS59Y641B
313Q,SCBBP93W79C199684,RE2D733,4US07M236N
161P,1N6AA0EC6DN551625,NR1N617,9LH86Q436T
583S,SAJWA1CZXE8740799,ZV9Z831,4UW04Y093X
666G,1G4GE5GVXAF971726,JE9K649,5EH52H833Q
245V,19UUA65605A183093,AT5J109,3FU23W632A
481V,2HNYD2H64DH121783,UP8U853,8AC72Z287Z
149H,WBAPT7C5XAC071175,GD7I055,8UT83U750Q
562J,WBALL5C51DE404553,PB5N537,4PB14O348P
465O,2G61N5S38D9511352,DX4Y198,1QD80S575F
282S,3VW507AT7EM010601,YO3N253,8JZ00H159J
718K,3N1AB7AP1FY273663,OY0C723,3FB65O107J
689W,WBAHN83568D078293,DX1U080,7AE09F404M
843V,3C6JD6CT8CG891129,LN3A617,8LL21Z942E
681D,WAU3MAFD9FN143815,RB6Y875,3SX17S951G
354G,3GYFNFEY1BS783610,FP3X253,5JF56K779D
047Y,KMHHT6KD8BU786666,KU2O642,9LD60Y904L
737A,TRUUT28N721395141,LW4Y549,4XR09H883B
345Z,1G6DB8E52E0875007,RH6L444,0EL90Y278E
865R,1FBAX2CM6FK042486,CW5O935,1WX05E688X
005W,5GAKRBEDXBJ447228,WT9J379,5XM18W389R
757R,ZHWGU5BZ8CL203305,VT6T031,6GL86T286T
491T,WAUAFAFH4AN909401,NW6J537,6OH96B590N
